"Station","Date.UTC.","Amount.mm.","Period.Hrs.","Freq","UTC_date"
"Auckland, North Shore Albany Ews","20100930:0600",0,1,"H",2010-09-30 06:00:00
"Auckland, North Shore Albany Ews","20101001:0600",0,1,"H",2010-10-01 06:00:00
"Auckland, North Shore Albany Ews","20101002:0600",0,1,"H",2010-10-02 06:00:00
"Auckland, North Shore Albany Ews","20101003:0600",0,1,"H",2010-10-03 06:00:00
"Auckland, North Shore Albany Ews","20101004:0600",0,1,"H",2010-10-04 06:00:00
"Auckland, North Shore Albany Ews","20101005:0600",0,1,"H",2010-10-05 06:00:00
"Auckland, North Shore Albany Ews","20101006:0600",0,1,"H",2010-10-06 06:00:00
"Auckland, North Shore Albany Ews","20101007:0600",0,1,"H",2010-10-07 06:00:00
"Auckland, North Shore Albany Ews","20101008:0600",0,1,"H",2010-10-08 06:00:00
"Auckland, North Shore Albany Ews","20101009:0600",0,1,"H",2010-10-09 06:00:00
"Auckland, North Shore Albany Ews","20101010:0600",0,1,"H",2010-10-10 06:00:00
"Auckland, North Shore Albany Ews","20101011:0600",0,1,"H",2010-10-11 06:00:00
"Auckland, North Shore Albany Ews","20101012:0600",0,1,"H",2010-10-12 06:00:00
"Auckland, North Shore Albany Ews","20101013:0600",0.1,1,"H",2010-10-13 06:00:00
"Auckland, North Shore Albany Ews","20101014:0600",0,1,"H",2010-10-14 06:00:00
"Auckland, North Shore Albany Ews","20101015:0600",0,1,"H",2010-10-15 06:00:00
"Auckland, North Shore Albany Ews","20101016:0600",0,1,"H",2010-10-16 06:00:00
"Auckland, North Shore Albany Ews","20101017:0600",0,1,"H",2010-10-17 06:00:00
"Auckland, North Shore Albany Ews","20101018:0600",0,1,"H",2010-10-18 06:00:00
"Auckland, North Shore Albany Ews","20101019:0600",0,1,"H",2010-10-19 06:00:00
"Auckland, North Shore Albany Ews","20101020:0600",0,1,"H",2010-10-20 06:00:00
"Auckland, North Shore Albany Ews","20101021:0600",0,1,"H",2010-10-21 06:00:00
"Auckland, North Shore Albany Ews","20101022:0600",0,1,"H",2010-10-22 06:00:00
"Auckland, North Shore Albany Ews","20101023:0600",0,1,"H",2010-10-23 06:00:00
"Auckland, North Shore Albany Ews","20101024:0600",0,1,"H",2010-10-24 06:00:00
"Auckland, North Shore Albany Ews","20101025:0600",0,1,"H",2010-10-25 06:00:00
"Auckland, North Shore Albany Ews","20101026:0600",0,1,"H",2010-10-26 06:00:00
"Auckland, North Shore Albany Ews","20101027:0600",0,1,"H",2010-10-27 06:00:00
"Auckland, North Shore Albany Ews","20101028:0600",0,1,"H",2010-10-28 06:00:00
